Title,URL,Managed By,Small Description,CAGR time period,CAGR rate,Volatility,Overview,Minimum investment amount,Launch Date,Past performance: Small Case,Past performance: Equity,Past performance: FD,Past performance: Inflation,CAGR: Small Case,CAGR: Equity,CAGR: FD,CAGR: Inflation,Number of Smallcases managed by Manager,About manager
High Quality Right Price,https://www.smallcase.com/smallcase/%22high-quality-right-price%22-multibagger-portfolio-GPRMO_0003,Green Portfolio,"Invest in stocks that will benefit from Aatma Nirbhar Bharat theme! (Rec amt 5-10 lakhs)
",2Y,67.31,High ,"Invests in 15-22 companies that can Multiply Your Wealth in the next 2-4 years.Theme:-AatmaNirbhar Bharat- Policy Formulated by PM of India to make India a ""bigger and more important part of the global economy"" pursuing policies that are efficient, competitive, resilient and being self-sustaining and self-generating.-China Plus One- Is the business strategy to avoid investing only in China and diversify business into other countries. Many companies are looking to diversify their manufacturing into countries like India as a part of their de-risking strategy.-Production Linked Incentive Scheme- Extends an incentive of 4% to 6% on incremental sales (over the base year) of goods manufactured in India and covered under target segments, to eligible companies, for a period of five (5) years-Make in India-Initiative to encourage companies to manufacture in India and encourage dedicated investments into manufacturing.-Government initiatives like Anti Dumping Duty, Import LicensingHigh Quality Right Price Companies-Strong Balance Sheet and Low Debt on books.-Good Management integrity, capability and performance track record.-Available at Reasonable Valuations-Multi-cap Strategy-Announcements, Results, News of the companies are regularly researched",21560,08/08/2018,394.51,149.97,122.19,120.88,45.68%,11.55%,5.56%,5.25%,2,"Divam Sharma is the Co-Founder of Green Portfolio. He is Chartered Accountant, holds an MBA from ISB, Hyderabad and a Masters in Business Finance from ICAI and has formerly worked as an analyst at CitiBank, IMGC and Kotak Mahindra Bank. He has over 15 years of experience of investment management in stock markets and along with his partner CA Anuj Jain (Co-Founder),he comes from a family having 3 generations of successful wealth creation experience from stock markets. Under his leadership, Green Portfolio research has consistently been able to create high outperformance on all its portfolios.  "
Dividend Stars,https://www.smallcase.com/smallcase/dividend-stars-SCMO_0013,Windmill Capital,High dividend yield companies with a track record of not cutting dividends,6Y,22.28,Medium ,"For long-term investors, dividend returns are very important as they are an additional income that is earned over and above the capital gains earned by holding onto the stock.This smallcase consists of companies that have maintained an average dividend yield of at least 2% over the previous 5 yearsAdditionally, only the companies that have not cut dividends for the last 5 years are includedStock returns consist of two parts--price return and dividend return. An investor can earn back a significant portion of the investment in the form of dividends, before selling the stock.",36772,03/03/2014,356.52,226.31,144.86,134.23,21.98%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
IT Tracker,https://www.smallcase.com/smallcase/it-tracker-SCTR_0006,Windmill Capital,Companies to efficiently track and invest in the IT sector,6Y,21.15,Medium ,"India remains one of the world’s top sourcing destination with a share of 55%. Indian IT exports touched a peak of US $670 billion in FY22. The contribution of the IT sector to India’s GDP stood at 7.7% in 2020.Indian IT &amp; ITeS companies have set up over 1,000 global delivery centers in over 80 cities around the world.Revenues of the IT Business Process Management industry are estimated to be at around US $227 billion in FY22 from the previous $196 billion in FY21. The industry is expected to grow to US $350 billion by 2025This smallcase comprises IT &amp; ITeS and online services companies to allow investors to efficiently track and invest in the information technology sector.",60377,03/03/2014,336.21,226.31,144.86,134.23,20.87%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Mid and Small Cap Focused Portfolio,https://www.smallcase.com/smallcase/mid-and-small-cap-focused-portfolio-NIVMO_0001,Niveshaay,This portfolio contains mid and small cap size companies available at reasonable valuations with strong market hold.,3Y,51.78,Medium ,"Recommended Investment Amount &gt; 3 LakhAt Niveshaay, we believe to invest where there is low Risk and High Uncertainty. There is a misnomer that entrepreneurs take high risk and hence they are awarded with high returns. In reality, entrepreneurs do everything they can to minimize risk.The classic trait of Entrepreneurs is that they are great at dealing with uncertainty and are also good at minimizing risks and the same applies to investors in equity markets too.The Key Mantra should be to invest in a company that has the potential to grow at decent pace, visibility of sustainable profit and also have clarity on the leverage.In this portfolio, we have covered stocks which are available at a reasonable valuation and have huge earning potential upside.This portfolio comprised of basket of 15-20 small and mid cap focused stocks with great business potential.",25781,01/04/2014,2777.4,255.5,166.14,146.15,52.06%,12.34%,6.50%,4.82%,3,"“Over 12 years of experience in Equity Research and Investment Advisory, he started his journey as an Industry Research Analyst at ICICI Bank. Nearly a decade ago, after working in the finance industry and understanding its nuances, it caught his observation and interest that the wealth management industry was a little complex for investors to understand which induced him to quit his job. He then, started with advising on wealth management and leading investments for his family &amp; friends. That’s how Niveshaay was born. He has a firm belief that taking entrepreneur calls work better than questioning quarterly performance like an analyst and has developed that culture in the enterprise too.”"
Pharma Tracker,https://www.smallcase.com/smallcase/pharma-tracker-SCTR_0009,Windmill Capital,Companies to efficiently track and invest in the pharma sector,6Y,10.55,Medium ,"Indian pharmaceutical sector is estimated to grow to US$ 100 billion by 2025. Branded generics dominate the pharmaceuticals market, constituting nearly 80% of the market share in terms of revenues.Pharma sector is expected to generate 58,000 additional job opportunities by 2025. Indian companies received 336 Abbreviated New Drug Application (ANDA) approvals from the USFDA accounting for 40% of total final ANDA approvals in 2019. A large pipe-line of high-value drugs as well as decline in regulatory alerts for larger companies is expected to drive growth. This smallcase comprises pharmaceutical and life sciences companies to allow investors to efficiently track and invest in the pharma sector.",30582,03/03/2014,188.52,226.31,144.86,134.23,10.42%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
TAARE ZAMEEN PAR,https://www.smallcase.com/smallcase/taare-zameen-par-the-stayvan-sip-way-SYVMO_0003,Stayvan,"STAYVAN introduces (1st time in India), Upfront + Sip strategy for investing directly in stocks.  ",2Y,65.01,Low ,"Call / Whatsapp = 8879924162Trusted by over 5,000+ subscribers and growing by being no. 1 in under Rs. 2,000/- minimum amount investment category.These smallcase has 7 independent stocks all under Rs. 100/- market price from different sectors and different market cap.Reach lumpsum investment above Rs. 25,000/- and then on each SIP re-balance invest 3% of the capital investment  or Rs. 1500/- whichever is above.We follow our unique STAYVAN SIP strategy designed to provide comparative better returns over a decent period of time. Short term investors should avoid investing in this smallcase.Our SIP recommends buying / selling on prices and not on fixed dates. These re-balance recommendations depend on the volatility, the more the volatility the more the re-balances frequency and vice-versa.The volatility makes them an ideal avenue for investments and profit opportunities.Trading volume has been stable.We shall provide buying + selling levels as rebalances for individual scrips which does not intend or constitute a model portfolio. All scrips are to be re-valued separately and independently.These are no financial or other advices regarding any investments and re-balance actions are completely at investors discretion. Request you to consult your financial advisor / planner before investing.No additional services other than those prescribed by SEBI for registered RESEARCH ANALYST are intended or shall be provided.",1291,24/10/2016,126.38,197.18,137.18,128.83,4.41%,13.15%,5.92%,4.72%,0,"Dipen is accredited as being one of the youngest and the most experienced Technical Analyst in the country. He possesses more than 18 years of professional experience of the market and has witnessed the entire ups and downs of the market. He has tracked commodities market since its inception on the electronic trading platform. He is the founder &amp; HOD of the FINANCIAL BUSINESS VERTICAL for STAY - RESEARCH, Navi Mumbai which offers 20 unique combinations of investment avenues with 100% potential to outperform the market. STAYVAN provides guarantee and promises to provide most efficient personalized investment advisory service, if not we lose your business. He appears regularly for Live shows, telephonic interviews to CBNC AWAAZ + CNBC BAJAAR + CNBC TV18 + ZEE BUSINESS + ET NOW + CNN IBN, all being India’s premier business channels. He guides viewers on their investment decisions based on their queries. He is very popular in the business media fraternity. He is a country – renowned entrepreneur + analyst + trainer + coach + advisor and guide who has helped nearly everyone associated to find the desired financial independence in life. He is highly rated, loved and blessed by all the people who have are and have been in acquaintance to him.He has done PG Diploma in Wealth Management from MIT Institute, Pune &amp; Masters of Business Administration (MBA) with dual specialization in Marketing and Finance."
The PE List,https://www.smallcase.com/smallcase/the-pe-list-SCMO_0024,Windmill Capital,Companies in which PE and VC firms have high shareholding,6Y,17.48,Medium ,"Venture Capital funds and Private Equity firms invest in early stage or growth phase companies that show long – term growth potential.• These firms invest in companies which possess qualities such as innovative/disruptive technologies, competent management teams and well-developed business models. They also conduct extensive due diligence regarding the company’s business model, management team, industry dynamics, growth prospects, etc. before investing.• These firms usually take board seats and provide advice, support, introductions, etc. related to operations, strategy, and financial management of the company• This combination of funding and expertise usually results in good growth prospects for the investee companyThis smallcase consists of stocks in which PE and or VC firms hold high stakes.",45561,03/03/2014,246.83,222.03,138,129.99,17.28%,15.11%,5.85%,4.74%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
The Great Indian Middle Class,https://www.smallcase.com/smallcase/the-great-indian-middle-class-SCNM_0010,Windmill Capital,Companies focused on the growing middle class. Running India's consumption engine,6Y,17.97,Medium ,"India is an emerging economy with a growing middle class with 45 crore people expected to be added to this category in the next 15 years.Rise in middle class population leads to increased discretionary income, which is the portion of individual’s income that is left after spending on necessities like food and rentThis income gets spent on luxury items like skin care products, branded clothes, entertainment, etcExpected increase in discretionary spending over the next decade will directly affect categories like transportation, food &amp; beverage, education, entertainment &amp; leisure facilitiesThis smallcase includes companies that are expected to benefit from the growth in the Indian middle class.",88125,03/03/2014,284.18,226.31,144.86,134.23,17.73%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Listed Venture Capital,https://www.smallcase.com/smallcase/listed-venture-capital-LTDMO_0001,Lotusdew Wealth,Venture Capital style investments into small listed companies with quality governance board & quality earnings poised to grow,3Y,53.83,Low ,"We find multi-baggars in listed small caps by using big-data analytics to quantitatively select governance standards and earnings potential using our proprietary database and algorithm. To dig deeper - please read on.An ingredient to our secret sauce is our proprietary database where we track board members of listed companies and our algorithms that track the background of these board compositions.We aim to find credible board members that are specialist in the industry and who are part of high quality companies and are also sitting board members of really small companies like a Venture Capital board observer in a startup.For our investors, we watch out for related party representations in terms of family members and focus on purely professional representation as a preferred choice.We bank on heuristic to estimate intrinsic value as a screen of companies that are very small and have limited reporting and history.We use fundamental ideas like variability of margins, earnings stability, one off items in reported earnings as few of the methods to further shortlist.We used portfolio construction techniques to make the small case representative of broad economy.This portfolio is not available for US persons, including US citizens and residents.&nbsp;The portfolio represented herein is available only to Indian residents.&nbsp;For US persons, please refer to the LotusDew website: <a href=""https://www.lotusdew.co"" rel=""noopener noreferrer"" target=""_blank"">www.lotusdew.co",43578,01/01/2014,2253.55,272.5,169.7,148.2,46.35%,12.82%,6.57%,4.85%,2,"Abhishek Banerjee, founder of LotusDew, has over a decade experience with asset allocation, portfolio construction and quantitative investments.&nbsp; Formerly, he worked as a Sr. Research Analyst at Franklin Templeton in the Systematic Strategies Group researching on asset allocation, expected return models and long-short global macro hedge fund strategies. He was also a named fund manager with a $140 bn industry pension fund MN in the Netherlands. He is a Computer Science Engineer and an MBA from Rotterdam School of Mgmt &amp; Duke University, Fuqua School of Business. He is also a Chartered Alternative Investment Analyst and a NISM Certified IA"
Brand Value,https://www.smallcase.com/smallcase/brand-value-SCNM_0007,Windmill Capital,Companies that own India's everyday brands. Top consumer favorites,6Y,18.11,Medium ,"India is likely to be the third-largest consumer market in the world by 2030.

Spending habits and consumption patterns have changed with the increased disposable income in the hands of millennials
India&rsquo;s aspirational class is huge and its total consumption is also very high
This change in consumption patterns will increase demand across sectors like food &amp; beverages, clothing &amp; footwear, household goods, healthcare and leisure facilities
Companies with strong brands will benefit from such consumption
A brand is usually a name that consumers emotionally associated to, which creates a moat for the company

This smallcase consists of companies that have been able to leverage their brand power into an outstanding financial track record over the years.",65373,03/03/2014,286.26,226.31,144.86,134.23,17.87%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
